home_team,away_team,minute,side,event_type,player,detail,raw_text
Sparta Praha,Zbrojovka Brno,17',away,goal,Řezníček J.,,"Je to gól! Šimon Falta vyslal přesný centr do pokutového území, kde se nejlépe zorientoval Jakub Řezníček (Zbrojovka Brno) a doklepl míč do pravé části branky. Skóre je 0:1."
Sparta Praha,Zbrojovka Brno,20',home,goal,Krejčí L.,assist: Kairinen K.,"Ladislav Krejčí (Sparta Praha) ukázal svůj cit pro gól, když si pro sebe vybojoval místo po rohovém kopu a z bezprostřední blízkosti míč hlavou neomylně uklidil do levého dolního rohu branky. Upravil tak skóre zápasu na 1:1."
Sparta Praha,Zbrojovka Brno,24',home,goal,Kuchta J.,assist: Sørensen A.,Kvalitní centr právě zužitkoval Jan Kuchta (Sparta Praha). Přesnou a razantní střelou po zemi k levé tyči překonal brankáře soupeře.
Sparta Praha,Zbrojovka Brno,28',away,yellow_card,Hlavica J.,reason: Hrubost,Jan Hlavica (Zbrojovka Brno) poslal soupeře svým zákrokem k zemi. Rozhodčí vše ohodnocuje žlutou kartou.
Sparta Praha,Zbrojovka Brno,39',home,disallowed_goal,Čvančara T.,,"Gólová radost hráčů týmu Sparta Praha trvala jen krátce. Rozhodčí s pomocí VAR zjistil, že brance předcházela ruka."
Sparta Praha,Zbrojovka Brno,49',home,goal,Wiesner T.,assist: Čvančara T.,"Gól! Tomáš Wiesner (Sparta Praha) se ve vápně dostal k přihrávce vzduchem, kterou vyslal Tomáš Čvančara, a zužitkoval ji nejlépe jak mohl. Pohotově vystřelil do pravého spodního rohu a upravuje skóre na 3:1."
Sparta Praha,Zbrojovka Brno,52',away,yellow_card,Divíšek J.,reason: Faul,Za předchozí faul je Josef Divíšek (Zbrojovka Brno) potrestán žlutou kartou.
Sparta Praha,Zbrojovka Brno,56',home,substitution,Haraslín L.,sub_in: Minchev M.; sub_out: Haraslín L.,"Na řadu přišlo střídání. Lukáš Haraslín opustil hřiště, do hry naopak naskočil Martin Minchev (Sparta Praha)."
Sparta Praha,Zbrojovka Brno,65',home,yellow_card,Kairinen K.,reason: Faul,Kaan Kairinen (Sparta Praha) se nemůže divit. Za podobné zákroky se totiž karta dávat musí. Pro uklidnění vášní na hřišti je to od arbitra dobrá volba.
Sparta Praha,Zbrojovka Brno,71',home,substitution,Čvančara T.,sub_in: Jankto J.; sub_out: Čvančara T.,Právě dochází ke střídání. Tomáš Čvančara opouští hrací plochu. Místo něj se do hry zapojí Jakub Jankto (Sparta Praha).
Sparta Praha,Zbrojovka Brno,71',home,substitution,Kairinen K.,sub_in: Laci Q.; sub_out: Kairinen K.,"Hlavní sudí právě svým gestem povoluje střídání. Kaan Kairinen se s dnešním zápasem rozloučí, na jeho místo naskočí Qazim Laci (Sparta Praha)."
Sparta Praha,Zbrojovka Brno,71',away,substitution,Ševčík M.,sub_in: Fousek A.; sub_out: Ševčík M.,Nastal čas pro vystřídání. Michal Ševčík v dnešním zápase dál pokračovat nebude. Do hry jde Adam Fousek (Zbrojovka Brno).
Sparta Praha,Zbrojovka Brno,82',home,substitution,Wiesner T.,sub_in: Mejdr J.; sub_out: Wiesner T.,"Na řadu přišlo střídání. Tomáš Wiesner je stažen, místo něj na hřiště nastoupí Jan Mejdr (Sparta Praha)."
Sparta Praha,Zbrojovka Brno,82',home,substitution,Kuchta J.,sub_in: Mabil A.; sub_out: Kuchta J.,"Následuje avizované střídání. Zatímco hřiště opouští Jan Kuchta, trenér Brian Priske uděluje poslední strategické pokyny hráči, který na trávník za kratičký okamžik naběhne. Tím je Awer Mabil (Sparta Praha)."
Sparta Praha,Zbrojovka Brno,85',away,substitution,Divíšek J.,sub_in: Rogožan L.; sub_out: Divíšek J.,Nyní je na řadě střídání. Josef Divíšek jde ze hřiště a místo něj si zahraje Lukáš Rogožan (Zbrojovka Brno).
Sparta Praha,Zbrojovka Brno,88',away,yellow_card,Šural J.,reason: Podražení,Žlutou kartu po nešetrném zákroku na hráče soupeře obdržel Jakub Šural (Zbrojovka Brno).
Sparta Praha,Zbrojovka Brno,89',home,yellow_card,Jankto J.,reason: Nesportovní chování,"Jakub Jankto (Sparta Praha) obdržel žlutou kartu za nemístnou kritiku výroku rozhodčího. Z výrazu tváře sudího a razancí se kterou vytáhl kartu soudím, že muže být rád za žlutou barvu kartónku."
Sparta Praha,Zbrojovka Brno,89',home,yellow_card,Sadílek L.,reason: Nesportovní chování,"Do debaty s rozhodčím se dostal Lukáš Sadílek (Sparta Praha). A zřejmě to nebyla příliš přátelská řeč, protože vidí žlutou kartu."
