title,perex,label
Realu se vážně zranil Asensio. Ceballos by měl mít stále zelenou,"Real Madrid potenciálně na celý ročník 2019/20 přišel o klíčového ofenzivního záložníka Marca Asensia, který si vážně poranil koleno v nočním přípravném duelu s Arsenalem. Nutná bude plastika předního zkříženého vazu a nejméně půlroční pauza; některé prognózy jsou však černější...",Injuries
Problémy s koleny dohnaly Richardse k brzkému ukončení kariéry,Už ve 31 letech dohnaly neustálé problémy s koleny Micaha Richardse k těžkému rozhodnutí. Někdejší velká naděje anglické kopané si naposledy za Aston Villu zahrála v říjnu 2016 a nyní definitivně oznámila konec kariéry...,Injuries
Verletzungspech bei Real - Kreuzband-Schock für Asensio – Chance für Bale und James?,Schock bei Real Madrid! Marco Asensio erlitt im Testspiel einen Kreuzbandriss. Was bedeutet das für Gareth Bale und James Rodriguez?Foto: Nick Wass / dpa,Injuries
Man Utd star Eric Bailly to miss ‘at least six weeks’ after knee injury against Tottenham,"MANCHESTER UNITED star Eric Bailly is set to miss “at least six weeks” after suffering a knee injury against Tottenham, according to reports. The Ivorian was carried off in yesterday’s 2-1 pre-season victory in Shanghai before leaving the stadium on crutches. The 25-year-old then arrived back in Manchester in a wheelchair and wearing a leg brace […]",Injuries
Вутов под въпрос за мача с Левски,"Един от основните футболисти на Ботев (Пловдив) Антонио Вутов е под въпрос за предстоящото дерби с Левски на „Герена“, съобщава „Пловдив ...",Injuries
Primera Division. Ferland Mendy z Realu opuści początek sezonu,Kolejna kontuzja w Realu Madryt. Ferland Mendy nabawił się urazu uda i najprawdopodobniej nie zdąży wrócić do gry przed początkiem sezonu.,Injuries
&#039;Flinke domper voor PEC Zwolle: aanvoerder Van Polen half jaar uitgeschakeld&#039;,"Een flinke domper voor PEC Zwolle en aanvoerder Bram van Polen. De verdediger ondergaat vrijdag een schouderoperatie en is een half jaar uitgeschakeld, zo meldt FOX Sports.",Injuries
"Torino, Iago Falque: solo un trauma alla caviglia, ma resta da valutare",Per lo spagnolo problema fisico durante la gara con il Debrecen. Intanto i granata hanno ripreso ad allenarsi in vista del ritorno in Ungheria,Injuries
"Torino, nessuna frattura per Iago Falque",Lo spagnolo aveva accusato un trauma alla caviglia sinistra nella gara di Europa League con il Debrecen. I granata hanno ripreso gli allenamenti in vista della gara di ritorno,Injuries
Theo Hernandez subito ko: nuovi controlli tra due settimane,"Comunicato Milan sull’infortunio del nuovo acquisto: “Lesione capsulo-legamentosa alla caviglia destra”. Incerti i tempi di recupero, ma dovrebbe farcela per la prima di Serie A",Injuries
"Yankees&#039; LeMahieu out with groin injury, undergoes MRI","AL batting leader DJ LeMahieu out of New York Yankees&#039; lineup against Boston Red Sox with groin tightness, undergoes MRI",Injuries
"Lammers verlaat Arena met ingepakte knie, niet beschikbaar voor FC Basel-uit","PSV zal het dinsdag tegen FC Basel moeten stellen zonder Sam Lammers. De spits viel zaterdag tegen Ajax uit met een blessure, waardoor de Eindhovenaren het Johan Cruijff Schaal-duel met &amp;eacute;&amp;eacute;n man minder uit moesten spelen.",Injuries
Benjamin Mendy targeting September return after successful knee procedure,A difficult two years..,Injuries
Blue Jays designate Pompey for assignment,The Toronto Blue Jays have designated Canadian outfielder Dalton Pompey for assignment after reinstating him from the 60-day injured list.,Injuries
Bruce de nouveau ralenti pas une blessure,"PHILADELPHIE - Les Phillies de Philadelphie ont inscrit le voltigeur Jay Bruce sur la liste des blessés de 10 jours à cause d&#039;une élongation à l&#039;oblique droit, mercredi. Bruce s&#039;est blessé en retenant son élan en troisième manche mardi soir, contre les Dodgers de Los Angeles. Il traversait une disette de 0 en 14 depuis un match de deux circuits le 7 juillet, au Citi Field. Depuis qu&#039;il a été acquis des Mariners de Seattle, le 2 juin, Bruce frappe pour ,256 en 33 matches, avec 10 circuits et 29 points produits. Pour le remplacer dans la formation, les Phillies ont fait appel au voltigeur Nick Williams de leur filiale de Lehigh Valley, dans le AAA.",Injuries
Επέστρεψε σε φουλ ρυθμούς προπονήσεων ο Μπακάκης,Ο Έλληνας αμυντικός επέστρεψε σε κανονικό ρυθμό προπονήσεων και δεν αποκλείεται να πάρει λεπτά συμμετοχής στο φιλικό παιχνίδι της Τετάρτης με την Μπασάκσεχιρ.,Injuries
"Milan, lungo stop per Theo Hernandez: prosegue la maledizione dei terzini","Tegola in casa Milan e pre-campionato sostanzialmente finito per il difensore, Theo Hernández. Il neo acquisto, proveniente dal Real Madrid, &quot;ha sostenuto una risonanza magnetica alla caviglia destra a seguito dell’infortunio subito nel corso del recente incontro del torneo ICC contro il Bayern Mona",Injuries
Alexandre Lacazette hands Arsenal major boost following injury against Lyon,Unai Emery will be relieved.,Injuries
Arsenal striker Lacazette set for swift return from ankle injury,Arsenal&#039;s medical staff are due to assess Alexandre Lacazette over the next few days after he twisted his ankle during Sunday&#039;s 2-1 defeat to Lyon.,Injuries
Courtois rozšířil madridský lazaret. Od začátku přípravy už se Realu zranilo pět hráčů,"Jak říká lidové rčení, neštěstí nechodí po horách, ale po lidech. A v Realu Madrid o tom vědí své. Nejenže Bílému baletu nevyšel výsledkově a ani herně vstup do letní přípravy, navíc se musí vypořádat s absencemi hned pěti hráčů. Na to, že příprava začala před dvěma týdny, je to extrémně vysoké číslo.",Injuries
Útočník Kadlec podstoupil třetí operaci během 14 měsíců,"Útočník pražské Sparty Václav Kadlec podstoupil minulý týden transplantaci chrupavky v levém koleni, které si zranil loni v květnu proti Jihlavě. Od té doby byl na operaci již potřetí. Rekonvalescence potrvá šest měsíců. 
",Injuries
Boavista viajou para a Alemanha sem o reforço Iván Bulos,Jogador peruano não seguiu com a equipa para fazer tratamento a desequilíbrios musculares,Injuries
"Cagliari, tegola Deiola: lesione al legamento, lascia il ritiro",Gli esami strumentali effettuati sul ginocchio destro del centrocampista hanno evidenziatoil problema al collaterale mediale,Injuries
Un Cagliari da Europa con Rog e Nandez,Le mosse del presidente Giulini fanno sognare i tifosi rossoblù. Per l&#039;uruguaiano del Boca è questione di ore. E Defrel non è più irragiungibile,Injuries
Niltinho falha início da 2ª Liga,Extremo com lesão no adutor direito,Injuries
Trotz Kreuzbandriss: Karsanidis verlängert,"Momentan laboriert Ioannis Karsanidis noch an einem Riss des vorderen Kreuzbandes, den er sich im Testspiel gegen Alanyaspor vergangenen Freitag zugezogen hat. Dennoch gab der Chemnitzer FC am Mittwochvormittag die Verlängerung seines Kontraktes bekannt.",Injuries
Trotz Kreuzbandriss: Chemnitz verlängert mit Karsanidis,"Momentan laboriert Ioannis Karsanidis noch an einem Riss des vorderen Kreuzbandes, den er sich im Testspiel gegen Alanyaspor vergangenen Freitag zugezogen hat. Dennoch gab der Chemnitzer FC am Mittwochvormittag die Verlängerung seines Kontraktes bekannt.",Injuries
"Bologna, crack Schouten: lesione al ginocchio destro",Il problema al legamento mediale collaterale costringerà l&#039;olandese ad uno stop di 3-4 settimane,Injuries
Dobré zprávy o Schumacherovi! S legendou už sledoval závody F1,"Uplynulo už pět a půl let od nehody Michaela Schumachera na lyžích, jeho stav je ale pro veřejnost stále velkou neznámou. Sem tam ale někdo z jeho blízkého okolí promluví. A to je i případ Jeana Todta, který opět potěšil všechny fanoušky. 29. prosince 2013 svět obletěla smutná zpráva. Michael Schumacher spadl na lyžích a skončil v nemocnici v kómatu. Od té doby se o jeho zdravotním stavu napsalo hodně věcí, žádná informace ale není stoprocentně potvrzená.
Každá dobrá zpráva o legendárním",Injuries
Caio Secco foi reintegrado,Guarda-redes tinha acusado fadiga muscular,Injuries
Kiel leiht Todorovic für ein Jahr aus,Holstein Kiel reagiert auf die schwere Verletzung von Jannik Dehm und sichert sich die Dienste des bosnischen Rechtsverteidigers Darko Todorovic. Der 22-Jährige kommt auf Leihbasis für eine Saison von RB Salzburg.,Injuries
Man Utd boss Ole Gunnar Solskjaer gives update on Victor Lindelof and Tahith Chong injuries,The Norwegian isn&#039;t worried,Injuries
"Manchester United star Eric Bailly out for ‘four to five months’ after knee surgery, says Ole Gunnar Solskjaer",He was stretchered off in the second half of United&#039;s win over Tottenham.,Injuries
Bailly až pět měsíců nepomůže Manchesteru United,Manchester United se musí delší dobu obejít bez Erica Baillyho. Pětadvacetiletý stoper si z přátelského utkání s Tottenhamem odnesl zraněné koleno a bude chybět až pět měsíců...,Injuries
Hard gelag voor Emmen: aanvoerder Jansen moet openingswedstrijd laten schieten,FC Emmen kan aanstaande zaterdag definitief niet beschikken over aanvoerder Anco Jansen. De 30-jarige Jansen ondervindt nog te veel last van een knieblessure en speelde daardoor ook nog geen enkele minuut in de voorbereiding van de club uit Drenthe.,Injuries
FC Bayern: Coman-Verletzung wohl nicht so schwer,München (dpa) - Der FC Bayern München befürchtet keinen längeren Ausfall von Flügelspieler Kingsley Coman.,Injuries
&quot;Бавария&quot; развеяла опасения болельщиков насчет травмы Комана,"Полузащитник &quot;Баварии&quot; и национальной команды Франции Кингсли Коман избежал серьезного повреждения, сообщает официальный сайт &quot;красных&quot;.
&quot;Он получил удар по икроножной мышце, это всегда болезненно. Когда ты ...",Injuries
ΑΕΚ: Αιμάτωμα ο Τσιγκρίνσκι,Ο Ντμίτρο Τσιγκρίνσκι έγινε αναγκαστική αλλαγή στο ματς της ΑΕΚ με την Μπασακσεχίρ και ο Μιγκέλ Καρντόσο έπεσε αμέσως πάνω του για να δει το μέγεθος της ζημιάς.,Injuries
Real Madrid confirma lesão no tornozelo esquerdo de Courtois,A bruxa está solta no Real Madrid. Após ter sido goleado por 7 a 3 pelo rival Atlético de Madrid ...,Injuries
"ΑΕΚ: &quot;Ok&quot; ο Οικονόμου, τα νεότερα για Τσιγκρίνσκι","Στη διάθεση του Μιγκέλ Καρντόσο τέθηκε ο Μάριος Οικονόμου, ενώ για να φανεί το ακριβές μέγεθος της ζημιάς του Τσιγκρίνσκι θα χρειαστεί χρόνος.",Injuries
AEK: Τρόμαξαν με τον τραυματισμό του Τσιγκρίνσκι,Για ακόμη μια φορά τα προβλήματα του Ντμίτρο Τσιγκρίνσκι προβληματίζουν την ΑΕΚ,Injuries
Lacazette’s ankle injury fears over as he takes part in full Arsenal training ahead of Newcastle opener,ARSENAL fans will be breathing a huge sigh of relief as star striker Alexandre Lacazette took part in another training session today. There were fears that the Frenchman would miss the start of the season after injuring his foot in the friendly with Lyon. He received treatment after just a minute of play – and […],Injuries
Joe Root explains Jofra Archer omission as England name Ashes team for first test vs Australia,The World Cup hero has been carrying an injury.,Injuries
England’s Jimmy Anderson sent for calf scan after first Ashes session,"• Bowler not seen in England’s attack since opening spell• Anderson passed fit despite missing Ireland Test with calf injuryJimmy Anderson has been sent for a scan on his right calf following the first session of the opening Ashes Test.The England bowler had not been seen in the attack since his opening four-over spell, though he did return to field after a brief time off the pitch. At lunch, concerns over the 37-year-old were realised as the England and Wales Cricket Board announced the record wicket-taking fast bowler would need a scan. Continue reading...",Injuries
"Moses: Fenerbahce Will Learn From Defeats To Bayern, Real Madrid","Victor Moses believes Fenerbahce have picked valuable lessons in their pre-season friendly defeats to European giants Bayern Munich and Real Madrid, reports Completesports.com. The Turkish Super Ligue side were humiliated 6-1 in their penultimate friendly by Bayern Munich before succumbing to another 5-3 loss to Real Madrid on Wednesday night at the Allianz Arena, Munich. […]
The post Moses: Fenerbahce Will Learn From Defeats To Bayern, Real Madrid appeared first on Complete Sports.",Injuries
Wales’ Taulupe Faletau out of Rugby World Cup with broken collarbone,• Injury-hit No 8 suffers setback in training and needs surgery• ‘Innocuous training ground incident’ resulted in breakWales will be without one of their most experienced and influential forwards in the World Cup after their Lions No 8 Taulupe Faletau suffered a broken collarbone in training this week.Wales have got used to life without the 72-cap Faletau who was a virtual ever-present in the side after making his debut in 2011 until he joined Bath five years later. He has started only two Six Nations matches in his three seasons in the west country having suffered knee and arm injuries. Continue reading...,Injuries
Blue Bombers’ Chris Matthews ready to make impact after being slowed by injuries,"Matthews is healthy again, but admitted it&#039;s been a frustrating start to the season after making just three catches.",Injuries
Borucki heads to injured list,"KANSAS CITY, Mo. - The Toronto Blue Jays have placed left-hander Ryan Borucki on the 10-day injured list with left elbow inflammation, retroactive to Sunday.",Injuries
Voit aux prises avec une hernie sportive,"NEW YORK _ Les Yankees de New York ont inscrit le nom du frappeur de puissance Luke Voit sur la liste des blessés pour 10 jours en raison d&#039;une hernie sportive qui pourrait nécessiter une intervention chirurgicale. Voit a quitté la rencontre de mardi soir contre les Diamondbacks de l&#039;Arizona et subi un test d&#039;imagerie par résonance magnétique. Le gérant Aaron Boone a déclaré mercredi que l&#039;organisation tentait encore de déterminer la gravité de la blessure. Les Yankees devront déterminer d&#039;ici une journée ou deux si Voit doit passer sous le bistouri, ce qui entraînerait une absence d&#039;environ six semaines.",Injuries
Stampeders quarterback Bo Levi Mitchell ready to test throwing arm,"Calgary Stampeders quarterback Bo Levi Mitchell says he&#039;s ready to throw the football again, targeting an Aug. 17 return against the Montreal Alouettes.",Injuries
Svenske NHL-stjärnan Oliver Ekman-Larsson till sjukhus – blev attackerad av en schäfer,"Nu öppnar Oliver Ekman Larsson upp om hundattacken. Svenske NHL-stjärna fick åka till sjukhus mitt i natten efter att ha blivit attackerad av en schäfer. – När jag sträckte fram handen så högg han mig, ...
The post Svenske NHL-stjärnan Oliver Ekman-Larsson till sjukhus – blev attackerad av en schäfer appeared first on Sportbibeln.",Injuries
Πλήγμα στην ΑΕΚ με Τσιγκρίνσκι,"O Ντμίτρο Τσιγκρίνσκι υποβλήθηκε σε μαγνητική η οποία έδειξε πως έχει υποστεί κάκωση στο γαστροκνήμιο με αιμάτωμα και κάκωση στον έσω πλάγιο, το οποίο σημαίνει πως θα χάσει τα δύο παιχνίδια με την Κραϊόβα.",Injuries
"Bayern: kiderült, mennyire súlyos Coman sérülése","A Bayern München a hivatalos oldalán adott tájékoztatást Kingsley Coman sérüléséről. A bajor csapat szurkolói fellélegezhetnek, nincs nagy baj, a francia szélső már a héten ismét edzésbe állhat.",Injuries
"&#039;Alles wat er bij Feyenoord over me gezegd is, heeft me mentaal kapotgemaakt&#039;",Het eindeloze blessureleed en alle heisa rondom z&#039;n teen hebben Sekou Ciss&amp;eacute; &#039;mentaal kapotgemaakt&#039; tijdens zijn mislukte periode in De Kuip. De voormalig aanvaller van Feyenoord zegt dat in een groot interview met VICE Sports.&amp;nbsp;,Injuries
El: súlyosnak tűnő sérülést szenvedett a Honvéd kapusa – videó,"Lefkovits Robit, a Budapest Honvéd kapusát le kellett cserélni az Universitatea Craiova–Budapest Honvéd Európa-liga-mérkőzés 40 percében. A 30 éves labdarúgó rosszul ért földet, kifordult a térde, hosszú percekig ápolták a pályán, míg aztán egy mentőautóban vitték le a pályáról. A pálya széléről aztán segítséggel bebicegett az öltözőbe.",Injuries
El: hanggránát robbant a Honvéd-meccs bírója mellett – videó,"A labdarúgó Európa-liga selejtező második körében a Honvéd idegenben is 0–0-ra végzett a rendes játékidőben a román élvonalbeli Univeritatea Craiovával. A hosszabbítás utolsó percében összetűzésbe kerültek a játékosok, egy román szurkoló pedig hanggránátot dobott a pályára, amely épp a játékvezető mellett robbant fel.",Injuries
Έπεσε φωτοβολίδα στον διαιτητή του Κραϊόβα-Χόνβεντ (vid+pics),"Κατά τη διάρκεια του αγώνα Κραϊόβα-Χόνβεντ, από τον οποίο προκρίθηκε η πρώτη και θα παίξει με την ΑΕΚ, ο διαιτητής βρέθηκε στο έδαφος εξαιτίας ρίψης φωτοβολίδας.",Injuries
El: ezért nem szakította félbe a Honvéd meccsét a bíró – sajtóhír,"Megdöbbentő okok miatt döntöttek a folytatás mellett az Universitatea Craiova–Budapest Honvéd Európa-liga selejtezőmérkőzés játékvezetői, amikor a találkozó 119. percében egy hanggránát robbant fel Arnold Hunter játékvezető mellett – számolt be róla az m4sport.hu.",Injuries
Παναθηναϊκός: Βαρύ διάστρεμμα και δυο εβδομάδες εκτός ο Μπουζούκης,Ο Γιάννης Μπουζούκης γλίτωσε τελικά τα χειρότερα καθώς σύμφωνα με το ιατρικό τιμ των πράσινων υπέστη βαρύ διάστρεμμα και θα μείνει εκτός προπονήσεων για δέκα-δεκαπέντε μέρες.,Injuries
Lotte: Niederlage zum Auftakt - Wedel fehlt acht Wochen,Die Sportfreunde Lotte sind trotz ordentlicher Ergebnisse in der Vorbereitung mit einer Niederlage in die Saison gestartet. Gegen die TuS Haltern verloren die Westfalen knapp mit 0:1. Tim Wendel verletzte sich dabei schwer.,Injuries
Χωρίς Ντόσα Τζούνιορ η ΑΕ Λεμεσού,Ο αρχηγός της ΑΕ Λεμεσού δεν κατάφερε να ξεπεράσει το πρόβλημα τραυματισμού που τον ταλαιπωρούσε και δεν θα αγωνιστεί απέναντι στον Άρη.,Injuries
Wisła Kraków. Sytuacja kadrowa nie do pozazdroszczenia,"Wisła Kraków ma problem z kontuzjami, a najmocniej dotknął on drugą linię. - Cały czas monitorujemy stan zdrowia zawodników - podkreśla Maciej Stolarczyk, trener Wisły Kraków.",Injuries
"Inter, altra grana per Conte: Godin va ko",Distrazione muscolare per il difensore uruguaiano: rischia di saltare la prima partita di campionato,Injuries
Arsenal receive double injury boost as Lucas Torreira and Alexandre Lacazette return to full training,Unai Emery could welcome back Lucas Torreira when Arsenal play Barcelona on Sunday.,Injuries
"Torino, Iago Falque: infortunio più grave del previsto",Lesione capsulo-legamentosa alla caviglia sinistra per lo spagnolo. Altri esami tra 10-15 giorni,Injuries
Torwart Flekken fällt beim SC wochenlang aus,Jetzt hat es beim SC Freiburg auch noch einen Torhüter erwischt: Mark Flekken hat sich im Training eine Syndesmoseruptur im linken Sprunggelenk zugezogen und wird nach Vereinsangaben mehrere Wochen fehlen.,Injuries
